task,encoding,combo,s1_model,C1_M,C1_F,C1_A,C1_R,C2_M,C2_F,C2_A,C2_R,C3_M,C3_F,C3_A,C3_R,C4_M,C4_F,C4_A,C4_R,C5_M,C5_F,C5_A,C5_R,C6_M,C6_F,C6_A,C6_R,mention_rate,nat_rate,fidelity_E,fidelity_S,fidelity_D,actionability_rate,status
MC-FE-01,H,RRR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,1.000,SCORED
MC-FE-01,H,CRR,kimi,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,1.000,SCORED
MC-FE-01,H,SRR,deepseek,1,E,1,Str,1,E,1,Str,1,E,1,Str,1,E,1,Str,1,E,1,Str,1,E,1,Str,1.000,0.000,6,0,0,1.000,SCORED
MC-FE-01,H,RCR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,1.000,SCORED
MC-FE-01,H,RSR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,1.000,SCORED
MC-FE-01,H,RRC,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,1.000,SCORED
MC-FE-01,H,RRS,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,1.000,SCORED
MC-FE-01,NLc,RRR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,1.000,SCORED
MC-FE-01,NLc,CRR,kimi,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,1.000,SCORED
MC-FE-01,NLc,SRR,deepseek,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-01,NLc,RCR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,1.000,SCORED
MC-FE-01,NLc,RSR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,1.000,SCORED
MC-FE-01,NLc,RRC,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,1.000,SCORED
MC-FE-01,NLc,RRS,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,1.000,SCORED
MC-FE-01,NLf,RRR,opus,1,E,1,Nat,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-01,NLf,CRR,kimi,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,1.000,SCORED
MC-FE-01,NLf,SRR,deepseek,1,E,1,Nat,1,S,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,5,1,0,1.000,SCORED
MC-FE-01,NLf,RCR,opus,1,E,1,Nat,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-01,NLf,RSR,opus,1,E,1,Nat,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-01,NLf,RRC,opus,1,E,1,Nat,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-01,NLf,RRS,opus,1,E,1,Nat,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-02,H,RRR,opus,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-02,H,CRR,kimi,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,1.000,SCORED
MC-FE-02,H,SRR,deepseek,1,E,1,Str,1,E,1,Str,1,E,1,Str,1,E,1,Str,1,E,1,Str,1,E,1,Str,1.000,0.000,6,0,0,1.000,SCORED
MC-FE-02,H,RCR,opus,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-02,H,RSR,opus,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-02,H,RRC,opus,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-02,H,RRS,opus,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-02,NLc,RRR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,1.000,SCORED
MC-FE-02,NLc,CRR,kimi,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-02,NLc,SRR,deepseek,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.667,SCORED
MC-FE-02,NLc,RCR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,1.000,SCORED
MC-FE-02,NLc,RSR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,1.000,SCORED
MC-FE-02,NLc,RRC,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,1.000,SCORED
MC-FE-02,NLc,RRS,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,1.000,SCORED
MC-FE-02,NLf,RRR,opus,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-02,NLf,CRR,kimi,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,1.000,SCORED
MC-FE-02,NLf,SRR,deepseek,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,0,N/A,N/A,Om,1,E,1,Nat,0,N/A,N/A,Om,0.667,1.000,4,0,0,1.000,SCORED
MC-FE-02,NLf,RCR,opus,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-02,NLf,RSR,opus,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-02,NLf,RRC,opus,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-02,NLf,RRS,opus,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-03,H,RRR,opus,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.667,SCORED
MC-FE-03,H,CRR,kimi,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-03,H,SRR,deepseek,1,E,1,Str,1,E,1,Str,1,E,1,Str,1,E,1,Str,1,E,1,Str,1,E,0,Str,1.000,0.000,6,0,0,0.833,SCORED
MC-FE-03,H,RCR,opus,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.667,SCORED
MC-FE-03,H,RSR,opus,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.667,SCORED
MC-FE-03,H,RRC,opus,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.667,SCORED
MC-FE-03,H,RRS,opus,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.667,SCORED
MC-FE-03,NLc,RRR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-03,NLc,CRR,kimi,1,E,1,Nat,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.667,SCORED
MC-FE-03,NLc,SRR,deepseek,1,E,1,Nat,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.667,SCORED
MC-FE-03,NLc,RCR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-03,NLc,RSR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-03,NLc,RRC,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-03,NLc,RRS,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-03,NLf,RRR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-03,NLf,CRR,kimi,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,0,N/A,N/A,Om,1,E,0,Nat,0.833,1.000,5,0,0,0.800,SCORED
MC-FE-03,NLf,SRR,deepseek,1,E,1,Nat,1,E,1,Nat,1,S,1,Nat,0,N/A,N/A,Om,1,E,1,Nat,0,N/A,N/A,Om,0.667,1.000,3,1,0,1.000,SCORED
MC-FE-03,NLf,RCR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-03,NLf,RSR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-03,NLf,RRC,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-03,NLf,RRS,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-04,H,RRR,opus,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.667,SCORED
MC-FE-04,H,CRR,kimi,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-04,H,SRR,deepseek,1,E,1,Str,1,E,1,Str,1,E,1,Str,1,E,1,Str,1,E,1,Str,1,E,0,Str,1.000,0.000,6,0,0,0.833,SCORED
MC-FE-04,H,RCR,opus,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.667,SCORED
MC-FE-04,H,RSR,opus,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.667,SCORED
MC-FE-04,H,RRC,opus,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.667,SCORED
MC-FE-04,H,RRS,opus,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.667,SCORED
MC-FE-04,NLc,RRR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-04,NLc,CRR,kimi,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-04,NLc,SRR,deepseek,1,E,1,Nat,1,E,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.667,SCORED
MC-FE-04,NLc,RCR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-04,NLc,RSR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-04,NLc,RRC,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-04,NLc,RRS,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-04,NLf,RRR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-04,NLf,CRR,kimi,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.667,SCORED
MC-FE-04,NLf,SRR,deepseek,1,E,1,Nat,1,S,1,Nat,1,E,1,Nat,0,N/A,N/A,Om,1,E,1,Nat,0,N/A,N/A,Om,0.667,1.000,3,1,0,1.000,SCORED
MC-FE-04,NLf,RCR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-04,NLf,RSR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-04,NLf,RRC,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-FE-04,NLf,RRS,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-01,H,RRR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-01,H,CRR,kimi,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-01,H,SRR,deepseek,1,E,1,Str,1,E,1,Str,1,E,1,Str,1,E,1,Str,1,E,1,Str,1,E,0,Str,1.000,0.000,6,0,0,0.833,SCORED
MC-BE-01,H,RCR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-01,H,RSR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-01,H,RRC,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-01,H,RRS,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-01,NLc,RRR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-01,NLc,CRR,kimi,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-01,NLc,SRR,deepseek,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-01,NLc,RCR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-01,NLc,RSR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-01,NLc,RRC,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-01,NLc,RRS,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-01,NLf,RRR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-01,NLf,CRR,kimi,1,E,1,Nat,1,S,0,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,5,1,0,0.667,SCORED
MC-BE-01,NLf,SRR,deepseek,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,0,N/A,N/A,Om,0.833,1.000,5,0,0,1.000,SCORED
MC-BE-01,NLf,RCR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-01,NLf,RSR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-01,NLf,RRC,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-01,NLf,RRS,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-02,H,RRR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-02,H,CRR,kimi,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-02,H,SRR,deepseek,1,E,1,Str,1,E,1,Str,1,E,1,Str,1,E,1,Str,1,E,1,Str,1,E,0,Str,1.000,0.000,6,0,0,0.833,SCORED
MC-BE-02,H,RCR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-02,H,RSR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-02,H,RRC,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-02,H,RRS,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-02,NLc,RRR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-02,NLc,CRR,kimi,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-02,NLc,SRR,deepseek,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-02,NLc,RCR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-02,NLc,RSR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-02,NLc,RRC,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-02,NLc,RRS,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-02,NLf,RRR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-02,NLf,CRR,kimi,1,E,1,Nat,1,E,1,Nat,0,N/A,N/A,Om,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,0.833,1.000,5,0,0,0.800,SCORED
MC-BE-02,NLf,SRR,deepseek,1,E,1,Nat,1,S,1,Nat,1,E,0,Nat,1,E,0,Nat,1,S,1,Nat,0,N/A,N/A,Om,0.833,1.000,3,2,0,0.600,SCORED
MC-BE-02,NLf,RCR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-02,NLf,RSR,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
MC-BE-02,NLf,RRC,opus,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,1,Nat,1,E,0,Nat,1.000,1.000,6,0,0,0.833,SCORED
